2nd_Edition	{'2nd edition': 16}
Java_programming_language	{'java programming language': 4}
Jazz	{'jazz': 1}
Jitter	{'jitter': 1}
Journalism	{'journalism': 1}
Jowett	{'jowett': 1}
Joystick	{'joystick': 1}
KAIST	{'kaist': 1}
KL	{'kl': 1}
Kalman_filter	{'kalman filter': 1}
Kennedy_Space_Center	{'kennedy space center': 1}
Kent	{'kent': 1}
Key_Frame	{'key frame': 1}
Khatri	{'khatri': 1}
Knight	{'knight': 1}
Knopf	{'knopf': 1}
Knowledge	{'knowledge': 82}
Knowledge_Base	{'knowledge base': 5}
Knowledge_Based_Systems	{'knowledge based systems': 4}
Knowledge_Economy	{'knowledge economy': 1}
Knowledge_Engineering	{'knowledge engineering': 2}
Knowledge_Management	{'knowledge management': 14}
Knowledge_Representation	{'knowledge representation': 4}
Knowledge_base_Systems	{'knowledge based systems': 2}
Kolmogorov_Complexity	{'kolmogorov complexity': 1}
Korn	{'korn': 1}
LATA	{'lata': 1}
LEAF	{'leaf': 1}
LIDAR	{'lidar': 5}
LINPACK	{'linpack': 1}
LISP	{'lisp': 3}
LISP_machine	{'lisp machine': 1}
LOD	{'lod': 6}
LSE	{'lse': 1}
LSI	{'lsi': 9}
LaBelle	{'labelle': 1}
LaTeX	{'latex': 2}
LabVIEW	{'labview': 1}
Laboratory	{'laboratory': 2}
Lambda_Calculus	{'lambda calculus': 2}
Landscape	{'landscape': 1}
Language	{'language': 56}
Large_Scale	{'large scale': 1}
Laser	{'laser': 22}
Laser_Rangefinder	{'laser rangefinder': 2}
Latin_America	{'latin america': 1}
Law	{'law': 2}
Legislation	{'legislation': 1}
Leonardo	{'leonardo': 1}
Level_design	{'level design': 1}
Lexical_Analysis	{'lexical analysis': 1}
Lexicon	{'lexicon': 1}
LiDAR	{'lidar': 17}
Libraries	{'libraries': 12}
Library	{'library': 9}
Life	{'life': 5}
Ligands	{'ligands': 1}
Light	{'light': 7}
Likelihood_Ratio_Test	{'likelihood ratio test': 1}
Linear_Algebra	{'linear algebra': 2}
Linear_programming	{'linear programming': 1}
Linguistic	{'linguistic': 1}
Linux	{'linux': 1}
Lisp	{'lisp': 13}
Live	{'live': 1}
Load_Balancing	{'load balancing': 1}
Location_Based_Services	{'location based services': 4}
Logic	{'logic': 60}
Logic_Programming	{'logic programming': 31}
Long	{'long': 1}
Lord	{'lord': 1}
Love	{'love': 1}
Lower	{'lower': 1}
Luminance	{'luminance': 1}
Lung	{'lung': 1}
MA	{'ma': 1}
MAPLE	{'maple': 1}
MATHEMATICA	{'mathematica': 1}
MATLAB	{'matlab': 3}
MCC	{'mcc': 1}
MEME	{'meme': 2}
MHz	{'mhz': 1}
MIB	{'mib': 1}
MIDAS	{'midas': 1}
MIMD	{'mimd': 1}
MMS	{'mms': 1}
MODEL	{'model': 1}
MP	{'mp': 1}
MPEG	{'mpeg': 2}
MPEG4	{'mpeg4': 2}
MPLS	{'mpls': 1}
MRI	{'mri': 4}
Machine_Code	{'machine code': 1}
Machine_Learning	{'machine learning': 14}
Machining	{'machining': 1}
Macromedia_Flash	{'macromedia flash': 1}
Magellan	{'magellan': 9}
Magi	{'magi': 1}
